Count,Name,Edition,Card Number,Foil
116,"Tatyova, Steward of Tides",Dominaria United,222,foil
117,Temporal Firestorm,Dominaria United,147,
118,Territorial Maro,Dominaria United,184,
119,The Phasing of Zhalfir,Dominaria United,59,
120,The Raven Man,Dominaria United,103,
121,Tolarian Geyser,Dominaria United,71,
122,"Tori D'Avenant, Fury Rider",Dominaria United,223,
123,"Tori D'Avenant, Fury Rider",Dominaria United,322,
124,Tribute to Urborg,Dominaria United,113,
127,Twinferno,Dominaria United,149,
128,Urborg Repossession,Dominaria United,114,
129,Urza Assembles the Titans,Dominaria United,37,foil
130,Vineshaper Prodigy,Dominaria United,187,
131,"Vohar, Vodalian Desecrator",Dominaria United,325,
132,Volshe Tideturner,Dominaria United,77,
133,Walking Bulwark,Dominaria United,241,
134,Wingmantle Chaplain,Dominaria United,39,
135,Writhing Necromass,Dominaria United,115,
136,Yavimaya Sojourner,Dominaria United,191,
137,Yotia Declares War,Dominaria United,153,
138,"Zar Ojanen, Scion of Efrava",Dominaria United,227,
