Count,Name,Edition,Card Number,Foil
1,Aeon Engine,Commander 2019,52,
1,Ainok Survivalist,Commander 2019,156,
1,Akoum Refuge,Commander 2019,226,
1,Alchemist's Greeting,Commander 2019,133,
1,Angel of Sanctions,Commander 2019,61,
1,Anje Falkenrath,Commander 2019,37,foil
1,Anje's Ravager,Commander 2019,22,
1,Apex Altisaur,Commander 2019,31,
1,Archfiend of Spite,Commander 2019,14,
2,Armillary Sphere,Commander 2019,209,
4,Ash Barrens,Commander 2019,227,
1,Asylum Visitor,Commander 2019,103,
1,"Atla Palani, Nest Tender",Commander 2019,38,foil
1,Avacyn's Judgment,Commander 2019,134,
1,Azorius Chancery,Commander 2019,228,
1,Azorius Locket,Commander 2019,210,
1,Backdraft Hellkite,Commander 2019,23,
1,Bane of the Living,Commander 2019,104,
1,Barren Moor,Commander 2019,229,
1,Beacon of Unrest,Commander 2019,105,
1,Beast Within,Commander 2019,157,
1,Big Game Hunter,Commander 2019,106,
1,Biomass Mutation,Commander 2019,187,
1,Bloodfell Caves,Commander 2019,230,
1,Bloodhall Priest,Commander 2019,188,
2,Bloodthirsty Blade,Commander 2019,53,
1,Blossoming Sands,Commander 2019,231,
1,Bojuka Bog,Commander 2019,232,
1,Bone Miser,Commander 2019,15,
1,Boneyard Parley,Commander 2019,107,
2,Boros Garrison,Commander 2019,233,
1,Boros Guildgate,Commander 2019,234,
1,Bounty of the Luxa,Commander 2019,189,
1,Burning Vengeance,Commander 2019,135,
1,Burnished Hart,Commander 2019,211,
1,Call to the Netherworld,Commander 2019,108,
1,"Chainer, Nightmare Adept",Commander 2019,39,foil
1,Champion of Stray Souls,Commander 2019,109,
1,Chaos Warp,Commander 2019,136,
1,Chemister's Insight,Commander 2019,80,
1,Chromeshell Crab,Commander 2019,81,
1,Cinder Barrens,Commander 2019,235,
1,Cinder Glade,Commander 2019,236,
1,Clever Impersonator,Commander 2019,82,
2,Cliffside Rescuer,Commander 2019,1,
1,Colossal Majesty,Commander 2019,158,
4,Command Tower,Commander 2019,237,
1,Commander's Insignia,Commander 2019,2,
1,Commander's Sphere,Commander 2019,212,
1,Crackling Drake,Commander 2019,190,
2,Cultivate,Commander 2019,159,
1,Curse of Fool's Wisdom,Commander 2019,16,
1,Dark Withering,Commander 2019,110,
1,Darkwater Catacombs,Commander 2019,238,
1,Deathmist Raptor,Commander 2019,160,
1,Deep Analysis,Commander 2019,83,
1,Den Protector,Commander 2019,161,
1,Desolation Twin,Commander 2019,60,
1,Desperate Ravings,Commander 2019,137,
1,Devil's Play,Commander 2019,138,
1,Dimir Aqueduct,Commander 2019,239,
1,Divine Reckoning,Commander 2019,62,
1,Dockside Extortionist,Commander 2019,24,
1,Doomed Artisan,Commander 2019,3,
1,Doomed Necromancer,Commander 2019,111,
1,Dragonmaster Outcast,Commander 2019,139,
1,Drownyard Temple,Commander 2019,240,
1,Druid's Deliverance,Commander 2019,162,
1,Dusk // Dawn,Commander 2019,63,
1,Echoing Truth,Commander 2019,84,
1,Elemental Bond,Commander 2019,163,
1,Elsha of the Infinite,Commander 2019,40,foil
1,Emmara Tandris,Commander 2019,191,
1,Empowered Autogenerator,Commander 2019,54,
4,Evolving Wilds,Commander 2019,241,
4,Exotic Orchard,Commander 2019,242,
2,Explore,Commander 2019,164,
1,Fact or Fiction,Commander 2019,85,
1,Faith of the Devoted,Commander 2019,112,
1,Faithless Looting,Commander 2019,140,
1,Farm // Market,Commander 2019,192,
2,Farseek,Commander 2019,165,
1,Feldon of the Third Path,Commander 2019,141,
1,Fervent Denial,Commander 2019,86,
1,Fiery Temper,Commander 2019,142,
1,Flamerush Rider,Commander 2019,143,
1,Flayer of the Hatebound,Commander 2019,144,
1,Forgotten Cave,Commander 2019,243,
1,Foul Orchard,Commander 2019,244,
1,Fresh Meat,Commander 2019,166,
1,From Under the Floorboards,Commander 2019,113,
1,Full Flowering,Commander 2019,32,
1,Gargoyle Castle,Commander 2019,245,
1,"Garruk, Primal Hunter",Commander 2019,167,
1,"Garruk, Primal Hunter",Commander 2019,167,
1,Garruk's Packleader,Commander 2019,168,
1,Geier Reach Sanitarium,Commander 2019,246,
1,"Gerrard, Weatherlight Hero",Commander 2019,41,
1,"Geth, Lord of the Vault",Commander 2019,114,
1,Ghastly Conscription,Commander 2019,115,
1,"Ghired, Conclave Exile",Commander 2019,42,foil
1,Ghired's Belligerence,Commander 2019,25,
1,Ghostly Prison,Commander 2019,64,
1,Giant Adephage,Commander 2019,169,
1,Gift of Doom,Commander 2019,17,
1,Golgari Guildgate,Commander 2019,247,
1,Golgari Rot Farm,Commander 2019,248,
1,Gorgon Recluse,Commander 2019,116,
1,Grave Scrabbler,Commander 2019,117,
1,Graypelt Refuge,Commander 2019,249,
1,Great Oak Guardian,Commander 2019,170,
1,"Greven, Predator Captain",Commander 2019,43,foil
1,Grim Haruspex,Commander 2019,118,
1,Grimoire of the Dead,Commander 2019,213,
1,"Grismold, the Dreadsower",Commander 2019,44,
1,Growing Ranks,Commander 2019,193,
1,Gruul Turf,Commander 2019,250,
1,Guttersnipe,Commander 2019,145,
1,Harmonize,Commander 2019,171,
2,Hate Mirage,Commander 2019,26,
1,Heart-Piercer Manticore,Commander 2019,146,
1,Hedonist's Trove,Commander 2019,119,
1,Hedron Archive,Commander 2019,214,
1,Hex,Commander 2019,120,
1,Highland Lake,Commander 2019,251,
1,Hooded Hydra,Commander 2019,172,
1,Hour of Reckoning,Commander 2019,65,
1,Icefeather Aven,Commander 2019,194,
1,Idol of Oblivion,Commander 2019,55,
1,Ignite the Future,Commander 2019,27,
1,In Garruk's Wake,Commander 2019,121,
1,Increasing Devotion,Commander 2019,66,
1,Increasing Vengeance,Commander 2019,147,
1,Intangible Virtue,Commander 2019,67,
1,Ixidron,Commander 2019,87,
1,Izzet Boilerworks,Commander 2019,252,
1,Izzet Guildgate,Commander 2019,253,
1,Izzet Locket,Commander 2019,215,
1,Jace's Sanctum,Commander 2019,88,
1,Jungle Hollow,Commander 2019,254,
1,Jungle Shrine,Commander 2019,255,
1,"K'rrik, Son of Yawgmoth",Commander 2019,18,
1,"Kadena, Slinking Sorcerer",Commander 2019,45,foil
1,Kadena's Silencer,Commander 2019,8,
1,Kazandu Refuge,Commander 2019,256,
1,Key to the City,Commander 2019,216,
1,Kheru Spellsnatcher,Commander 2019,89,
1,Krosan Verge,Commander 2019,257,
2,Leadership Vacuum,Commander 2019,9,
1,Lightning Greaves,Commander 2019,217,
1,Llanowar Wastes,Commander 2019,258,
1,Magmaquake,Commander 2019,148,
1,Magus of the Wheel,Commander 2019,149,
1,Malevolent Whispers,Commander 2019,150,
1,Mandate of Peace,Commander 2019,4,
1,"Marisi, Breaker of the Coil",Commander 2019,46,foil
1,Mass Diminish,Commander 2019,10,
1,Memorial to Folly,Commander 2019,259,
1,Meteor Golem,Commander 2019,218,
1,Mimic Vat,Commander 2019,219,
2,Mire in Misery,Commander 2019,19,
1,Momentous Fall,Commander 2019,173,
1,Mortuary Mire,Commander 2019,260,
1,Murderous Compulsion,Commander 2019,122,
4,Myriad Landscape,Commander 2019,261,
1,Mystic Monastery,Commander 2019,262,
1,Mystic Retrieval,Commander 2019,90,
1,Nantuko Vigilante,Commander 2019,174,
1,Naya Charm,Commander 2019,195,
1,Naya Panorama,Commander 2019,263,
1,Nightmare Unmaking,Commander 2019,20,
1,Nightshade Assassin,Commander 2019,123,
1,Ob Nixilis Reignited,Commander 2019,124,
1,Ohran Frostfang,Commander 2019,33,
1,Oona's Grace,Commander 2019,91,
1,Opulent Palace,Commander 2019,264,
1,Overseer of the Damned,Commander 2019,125,
1,Overwhelming Stampede,Commander 2019,175,
1,Pendant of Prosperity,Commander 2019,56,
1,Phyrexian Rebirth,Commander 2019,68,
1,Plaguecrafter,Commander 2019,126,
1,Prairie Stream,Commander 2019,265,
1,"Pramikon, Sky Rampart",Commander 2019,47,foil
1,Prismatic Strands,Commander 2019,69,
1,Pristine Angel,Commander 2019,70,
1,Pristine Skywise,Commander 2019,196,
1,Purify the Grave,Commander 2019,71,
1,Putrefy,Commander 2019,197,
1,Rakdos Carnarium,Commander 2019,266,
1,Rakdos Guildgate,Commander 2019,267,
1,Rakdos Locket,Commander 2019,220,
1,Ral Zarek,Commander 2019,198,
1,Rampaging Baloths,Commander 2019,176,
1,Ray of Distortion,Commander 2019,72,
1,"Rayami, First of the Fallen",Commander 2019,48,foil
1,Reality Shift,Commander 2019,92,
1,Refuse // Cooperate,Commander 2019,199,
1,Reliquary Tower,Commander 2019,268,
1,River Kelpie,Commander 2019,93,
1,"Rix Maadi, Dungeon Palace",Commander 2019,269,
1,Road of Return,Commander 2019,34,
1,Roc Egg,Commander 2019,73,
1,Rogue's Passage,Commander 2019,270,
1,Rolling Temblor,Commander 2019,151,
1,Rootborn Defenses,Commander 2019,74,
1,Rugged Highlands,Commander 2019,271,
1,Runic Repetition,Commander 2019,94,
1,Sagu Mauler,Commander 2019,200,
2,Sakura-Tribe Elder,Commander 2019,177,
1,Sanctum of Eternity,Commander 2019,59,
1,Sanitarium Skeleton,Commander 2019,127,
4,Scaretiller,Commander 2019,57,
1,Scroll of Fate,Commander 2019,58,
1,Second Harvest,Commander 2019,178,
1,Secret Plans,Commander 2019,201,
1,Secrets of the Dead,Commander 2019,95,
1,Seedborn Muse,Commander 2019,179,
1,Selesnya Eulogist,Commander 2019,35,
1,Selesnya Sanctuary,Commander 2019,272,
1,"Sevinne, the Chronoclasm",Commander 2019,49,foil
1,Sevinne's Reclamation,Commander 2019,5,
1,Shamanic Revelation,Commander 2019,180,
1,Shrine of the Forsaken Gods,Commander 2019,273,
1,Silumgar Assassin,Commander 2019,128,
1,Simic Growth Chamber,Commander 2019,274,
1,Simic Guildgate,Commander 2019,275,
1,Skinthinner,Commander 2019,129,
1,Skyfire Phoenix,Commander 2019,28,
1,Slice in Twain,Commander 2019,181,
4,Sol Ring,Commander 2019,221,
1,Solemn Simulacrum,Commander 2019,222,
1,Song of the Worldsoul,Commander 2019,6,
1,Soul Foundry,Commander 2019,223,
1,Soul of Innistrad,Commander 2019,130,
1,Soul of Zendikar,Commander 2019,182,
1,"Squee, Goblin Nabob",Commander 2019,152,
1,Stone Quarry,Commander 2019,276,
1,Storm Herd,Commander 2019,75,
1,Stratus Dancer,Commander 2019,96,
1,Strionic Resonator,Commander 2019,224,
1,Stromkirk Occultist,Commander 2019,153,
1,Sudden Substitution,Commander 2019,11,
1,Sultai Charm,Commander 2019,202,
1,Sun Titan,Commander 2019,76,
1,Sundering Growth,Commander 2019,203,
1,Sungrass Prairie,Commander 2019,277,
1,Sunken Hollow,Commander 2019,278,
1,Swiftwater Cliffs,Commander 2019,279,
1,"Tahngarth, First Mate",Commander 2019,50,
1,"Talrand, Sky Summoner",Commander 2019,97,
1,Tectonic Hellion,Commander 2019,29,
3,Temple of the False God,Commander 2019,280,
1,Tempt with Discovery,Commander 2019,183,
4,Terramorphic Expanse,Commander 2019,281,
1,Tezzeret's Gambit,Commander 2019,98,
1,Thalia's Geistcaller,Commander 2019,7,
1,The Eldest Reborn,Commander 2019,131,
1,Thelonite Hermit,Commander 2019,184,
1,Thespian's Stage,Commander 2019,282,
1,Thieving Amalgam,Commander 2019,21,
1,Think Twice,Commander 2019,99,
1,Thornwood Falls,Commander 2019,283,
1,Thought Sponge,Commander 2019,12,
1,Thousand Winds,Commander 2019,100,
1,Thragtusk,Commander 2019,185,
1,Thran Dynamo,Commander 2019,225,
1,Trail of Mystery,Commander 2019,186,
1,Tranquil Cove,Commander 2019,284,
1,"Trostani, Selesnya's Voice",Commander 2019,204,
1,Trostani's Judgment,Commander 2019,77,
1,Urban Evolution,Commander 2019,205,
1,Vesuvan Shapeshifter,Commander 2019,101,
1,Violent Eruption,Commander 2019,154,
1,Vitu-Ghazi Guildmage,Commander 2019,206,
2,Voice of Many,Commander 2019,36,
1,"Volrath, the Shapestealer",Commander 2019,51,foil
1,Vraska the Unseen,Commander 2019,207,
1,Wall of Stolen Identity,Commander 2019,13,
1,Warstorm Surge,Commander 2019,155,
1,Wayfaring Temple,Commander 2019,208,
1,Wildfire Devils,Commander 2019,30,
1,Willbender,Commander 2019,102,
1,Wind-Scarred Crag,Commander 2019,285,
1,Wingmate Roc,Commander 2019,78,
1,Woodland Stream,Commander 2019,286,
1,Yavimaya Coast,Commander 2019,287,
1,"Zetalpa, Primal Dawn",Commander 2019,79,
1,Zombie Infestation,Commander 2019,132,
1,Ambition's Cost,Commander 2021,134,
1,Angel of Serenity,Commander 2021,83,
1,Arcane Signet,Commander 2021,234,
1,Author of Shadows,Commander 2021,35,
1,Barren Moor,Commander 2021,277,
1,Bloodthirsty Blade,Commander 2021,235,
1,Bojuka Bog,Commander 2021,281,
1,Bold Plagiarist,Commander 2021,37,
1,Boreas Charger,Commander 2021,84,
1,"Breena, the Demagogue",Commander 2021,1,foil
1,Caves of Koilos,Commander 2021,283,
1,Citadel Siege,Commander 2021,85,
1,Combat Calligrapher,Commander 2021,14,
1,Command Tower,Commander 2021,284,
1,Coveted Jewel,Commander 2021,240,
1,Cunning Rhetoric,Commander 2021,38,
1,Curse of Disturbance,Commander 2021,138,
1,Deathbringer Liege,Commander 2021,214,
1,Deathbringer Regent,Commander 2021,141,
1,Debtors' Knell,Commander 2021,215,
1,Duelist's Heritage,Commander 2021,90,
1,Elite Scaleguard,Commander 2021,91,
1,Exotic Orchard,Commander 2021,288,
1,"Fain, the Broker",Commander 2021,40,
1,"Felisa, Fang of Silverquill",Commander 2021,2,foil
1,Ghostly Prison,Commander 2021,92,
1,"Gideon, Champion of Justice",Commander 2021,93,
1,Guardian Archon,Commander 2021,17,
1,Hunted Lammasu,Commander 2021,94,
1,Incarnation Technique,Commander 2021,41,
1,Infernal Offering,Commander 2021,146,
1,Inkshield,Commander 2021,71,
1,Keen Duelist,Commander 2021,42,
1,Knight of the White Orchid,Commander 2021,95,
1,Magister of Worth,Commander 2021,223,
1,Martial Impetus,Commander 2021,96,
1,"Mikokoro, Center of the Sea",Commander 2021,302,
1,Mind Stone,Commander 2021,251,
1,Myriad Landscape,Commander 2021,304,
1,Necropolis Regent,Commander 2021,147,
1,"Nils, Discipline Enforcer",Commander 2021,20,
1,Oblation,Commander 2021,97,
1,Opal Palace,Commander 2021,306,
1,Oreskos Explorer,Commander 2021,98,
1,Orzhov Advokist,Commander 2021,99,
1,Orzhov Basilica,Commander 2021,308,
1,Orzhov Signet,Commander 2021,254,
1,Parasitic Impetus,Commander 2021,150,
1,Pendant of Prosperity,Commander 2021,256,
1,Promise of Loyalty,Commander 2021,21,
1,Rogue's Passage,Commander 2021,312,
1,Scholarship Sponsor,Commander 2021,22,
1,Secluded Steppe,Commander 2021,315,
1,Selfless Squire,Commander 2021,103,
1,Sol Ring,Commander 2021,263,
1,Soul Snare,Commander 2021,104,
1,Spectral Searchlight,Commander 2021,265,
1,Stalking Leonin,Commander 2021,105,
1,Stinging Study,Commander 2021,44,
1,Study Hall,Commander 2021,80,
1,Sunscorch Regent,Commander 2021,107,
1,Tainted Field,Commander 2021,320,
1,Temple of Silence,Commander 2021,325,
1,Temple of the False God,Commander 2021,326,
1,Tempting Contract,Commander 2021,78,
1,"Teysa, Envoy of Ghosts",Commander 2021,230,
1,Together Forever,Commander 2021,108,
1,Tragic Arrogance,Commander 2021,109,
1,Utter End,Commander 2021,232,
1,Victory Chimes,Commander 2021,274,
1,Vow of Duty,Commander 2021,110,
1,Windborn Muse,Commander 2021,111,
1,"Zetalpa, Primal Dawn",Commander 2021,112,
1,Commander's Sphere,Commander Anthology,213,
1,"Glacian, Powerstone Engineer",Commander Legends,72,
1,Mana Confluence,Commander Legends,721,
1,Aarakocra Sneak,Commander Legends: Battle for Baldur's Gate,54,
1,Acolyte of Bahamut,Commander Legends: Battle for Baldur's Gate,212,
1,"Alora, Merry Thief",Commander Legends: Battle for Baldur's Gate,55,
1,Amber Gristle O'Maul,Commander Legends: Battle for Baldur's Gate,159,
1,Ambitious Dragonborn,Commander Legends: Battle for Baldur's Gate,213,
1,"Astarion, the Decadent",Commander Legends: Battle for Baldur's Gate,265,
2,Atrocious Experiment,Commander Legends: Battle for Baldur's Gate,115,
1,Balor,Commander Legends: Battle for Baldur's Gate,162,
1,Band Together,Commander Legends: Battle for Baldur's Gate,216,
1,Black Dragon Gate,Commander Legends: Battle for Baldur's Gate,347,
1,Blessed Hippogriff // Tyr's Blessing,Commander Legends: Battle for Baldur's Gate,11,
1,Blur,Commander Legends: Battle for Baldur's Gate,58,
1,Breath Weapon,Commander Legends: Battle for Baldur's Gate,165,
1,Call to the Void,Commander Legends: Battle for Baldur's Gate,118,
1,Candlekeep Inspiration,Commander Legends: Battle for Baldur's Gate,59,
1,Candlekeep Sage,Commander Legends: Battle for Baldur's Gate,60,
1,Carnelian Orb of Dragonkind,Commander Legends: Battle for Baldur's Gate,166,
1,Charcoal Diamond,Commander Legends: Battle for Baldur's Gate,305,
1,Charcoal Diamond,Commander Legends: Battle for Baldur's Gate,442,
1,Cloakwood Hermit,Commander Legends: Battle for Baldur's Gate,221,
1,Cloudkill,Commander Legends: Battle for Baldur's Gate,121,
1,Colossal Badger // Dig Deep,Commander Legends: Battle for Baldur's Gate,223,
1,Command Tower,Commander Legends: Battle for Baldur's Gate,351,foil
1,Commander Liara Portyr,Commander Legends: Battle for Baldur's Gate,270,
1,Contact Other Plane,Commander Legends: Battle for Baldur's Gate,62,
2,Coronation of Chaos,Commander Legends: Battle for Baldur's Gate,168,
1,Cultist of the Absolute,Commander Legends: Battle for Baldur's Gate,123,foil
1,Deadly Dispute,Commander Legends: Battle for Baldur's Gate,124,
1,Decanter of Endless Water,Commander Legends: Battle for Baldur's Gate,309,
1,Descent into Avernus,Commander Legends: Battle for Baldur's Gate,169,
1,Dire Mimic,Commander Legends: Battle for Baldur's Gate,310,foil
1,Draconic Lore,Commander Legends: Battle for Baldur's Gate,64,
2,Draconic Lore,Commander Legends: Battle for Baldur's Gate,64,foil
1,Dragon Cultist,Commander Legends: Battle for Baldur's Gate,170,
2,Dragonborn Looter,Commander Legends: Battle for Baldur's Gate,65,
1,Druid of the Emerald Grove,Commander Legends: Battle for Baldur's Gate,226,
1,Druidic Ritual,Commander Legends: Battle for Baldur's Gate,227,
3,Earth Tremor,Commander Legends: Battle for Baldur's Gate,171,
2,Eldritch Pact,Commander Legends: Battle for Baldur's Gate,126,
1,"Ellyn Harbreeze, Busybody",Commander Legends: Battle for Baldur's Gate,16,
1,"Erinis, Gloom Stalker",Commander Legends: Battle for Baldur's Gate,230,
1,Faceless One,Commander Legends: Battle for Baldur's Gate,1,
2,Fang Dragon // Forktail Sweep,Commander Legends: Battle for Baldur's Gate,173,
2,Firbolg Flutist,Commander Legends: Battle for Baldur's Gate,174,
1,Fire Diamond,Commander Legends: Battle for Baldur's Gate,445,
1,Fireball,Commander Legends: Battle for Baldur's Gate,175,
1,Genasi Enforcers,Commander Legends: Battle for Baldur's Gate,177,
1,Gnoll War Band,Commander Legends: Battle for Baldur's Gate,178,
1,Gray Harbor Merfolk,Commander Legends: Battle for Baldur's Gate,75,
1,Gray Slaad // Entropic Decay,Commander Legends: Battle for Baldur's Gate,129,
1,Guiding Bolt,Commander Legends: Battle for Baldur's Gate,24,
1,Hardy Outlander,Commander Legends: Battle for Baldur's Gate,235,
3,Hezrou // Demonic Stench,Commander Legends: Battle for Baldur's Gate,131,
1,"Imoen, Mystic Trickster",Commander Legends: Battle for Baldur's Gate,77,
3,Ingenious Artillerist,Commander Legends: Battle for Baldur's Gate,182,
2,Insufferable Balladeer,Commander Legends: Battle for Baldur's Gate,184,
1,Irenicus's Vile Duplication,Commander Legends: Battle for Baldur's Gate,78,
1,"Jaheira, Friend of the Forest",Commander Legends: Battle for Baldur's Gate,237,
1,Javelin of Lightning,Commander Legends: Battle for Baldur's Gate,185,
1,"Jon Irenicus, Shattered One",Commander Legends: Battle for Baldur's Gate,278,
1,Kenku Artificer,Commander Legends: Battle for Baldur's Gate,80,
1,"Korlessa, Scale Singer",Commander Legends: Battle for Baldur's Gate,280,
1,"Lae'zel, Vlaakith's Champion",Commander Legends: Battle for Baldur's Gate,29,
1,Lapis Orb of Dragonkind,Commander Legends: Battle for Baldur's Gate,82,
1,Lightning Bolt,Commander Legends: Battle for Baldur's Gate,187,
1,Lightning Bolt,Commander Legends: Battle for Baldur's Gate,401,
1,"Livaan, Cultist of Tiamat",Commander Legends: Battle for Baldur's Gate,188,
3,"Lozhan, Dragons' Legacy",Commander Legends: Battle for Baldur's Gate,281,
1,"Mahadi, Emporium Master",Commander Legends: Battle for Baldur's Gate,282,
1,"Mahadi, Emporium Master",Commander Legends: Battle for Baldur's Gate,429,
1,Marching Duodrone,Commander Legends: Battle for Baldur's Gate,321,
1,Marching Duodrone,Commander Legends: Battle for Baldur's Gate,447,
1,Martial Impetus,Commander Legends: Battle for Baldur's Gate,33,foil
2,Master Chef,Commander Legends: Battle for Baldur's Gate,241,
1,"Minthara, Merciless Soul",Commander Legends: Battle for Baldur's Gate,432,
2,Mold Folk,Commander Legends: Battle for Baldur's Gate,133,
1,Moss Diamond,Commander Legends: Battle for Baldur's Gate,327,
1,Myrkul's Invoker,Commander Legends: Battle for Baldur's Gate,136,
